y_true,probability,prediction
1,0.6413958331731114,1
0,0.06101268060627572,0
0,0.06960255039413714,0
0,0.2844030794455656,0
1,0.8556329994180728,1
1,0.6998302853198655,1
0,0.021441901864576608,0
0,0.1301383064400539,0
0,0.14641029461236602,0
1,0.9849991546803142,1
1,0.9939987501373932,1
1,0.4974070327036669,0
0,0.04842194409060759,0
1,0.9941612862497271,1
0,0.07730199029740722,0
0,0.5689467046147801,1
0,0.011045143073583499,0
0,0.11783286222624456,0
1,0.5405326697664917,1
0,0.1628492432529994,0
0,0.61098640283815,1
1,0.6514774988144285,1
0,0.8679380400810398,1
1,0.5431514431502493,1
1,0.5329541944478886,1
0,0.5867778337308414,1
0,0.006260786624566956,0
1,0.9677303606088977,1
0,0.45699197313984663,0
0,0.7345493341583881,1
1,0.8818840197232125,1
0,0.04061029539828476,0
0,0.454203736846476,0
0,0.4835216156668143,0
0,0.1846488245623293,0
0,0.411382975646293,0
0,0.047027216690956275,0
1,0.7100274752545475,1
0,0.16549911044398746,0
0,0.5603417322398282,1
0,0.0005496533044477354,0
0,0.04523435721840092,0
0,0.34638134994272124,0
1,0.9846704905213501,1
0,0.027271115375059884,0
0,0.637486794750733,1
0,0.0717408347665697,0
0,0.0016444857703881227,0
0,0.053821641266412215,0
0,0.2599206828766148,0
0,0.2592582574472741,0
1,0.6446414338380974,1
0,0.021993109632331496,0
0,0.39537380678385325,0
1,0.8448525627911183,1
0,0.08325564537460335,0
0,0.09277531870043741,0
1,0.8511963549399638,1
0,0.45037517500855234,0
0,0.10226321110204406,0
0,0.4147581723236891,0
1,0.5723685206451669,1
1,0.9494967432045313,1
0,0.003907481277439941,0
0,0.048843125055162966,0
0,0.35602724701219174,0
0,0.15609747248257516,0
1,0.7643244721561182,1
0,0.2588666170792702,0
0,0.11333703073235753,0
1,0.1009253221267402,0
0,0.17840073479752774,0
0,0.6974916197780692,1
0,0.21285055012377174,0
0,0.30924280935190485,0
1,0.8914737901140184,1
0,0.3719168282669258,0
0,0.0005289422674947187,0
1,0.9774930655089356,1
1,0.4405009069201238,0
0,0.06103877652568349,0
0,0.06868799168546577,0
