y_true,probability,prediction
1,0.6028755128194012,1
0,0.05447405609083307,0
0,0.02280721776607443,0
0,0.23896262720451078,0
1,0.9172987399596665,1
1,0.7122204782152677,1
0,0.04000205232212053,0
0,0.048230186571589326,0
0,0.1160301777434529,0
1,0.9989149069915789,1
1,0.9999983877027752,1
1,0.41505894837277985,0
0,0.004896270519573646,0
1,0.9913775038334613,1
0,0.0260995673265842,0
0,0.6380901897360988,1
0,0.06883510563024141,0
0,0.16705747950004182,0
1,0.4285240931977452,0
0,0.4137426365348441,0
0,0.6459344112782419,1
1,0.9269963910199527,1
0,0.9714973912213817,1
1,0.4335617415772352,0
1,0.6881795844277254,1
0,0.5597466855418346,1
0,0.00425864129129374,0
1,0.9935528134739707,1
0,0.5574693533046362,1
0,0.7550758246750203,1
1,0.9328457762168444,1
0,0.062264605639767316,0
0,0.5483155768398904,1
0,0.3683049049972338,0
0,0.2111778689627904,0
0,0.31837789381492954,0
0,0.029454721106954213,0
1,0.7842402001852199,1
0,0.1856432033284236,0
0,0.5333621929096994,1
0,0.0010615031716475491,0
0,0.04691062522342564,0
0,0.4446313421116514,0
1,0.9942813244224044,1
0,0.059785940904363004,0
0,0.691825592369604,1
0,0.08543780885246523,0
0,0.006849816711650177,0
0,0.008398678900250105,0
0,0.0675961791588413,0
0,0.36074263288612984,0
1,0.6557885999231896,1
0,0.043855967598839654,0
0,0.7402909670123966,1
1,0.9241840904080262,1
0,0.05239361858938335,0
0,0.0742677910313378,0
1,0.8877893773511671,1
0,0.2394402717944504,0
0,0.0985397048819358,0
0,0.6480887553044928,1
1,0.5430172903089777,1
1,0.9774802802143583,1
0,0.012623558948082416,0
0,0.1067139474644108,0
0,0.20601848239807402,0
0,0.010574326103148334,0
1,0.9766907296128959,1
0,0.2992859836922064,0
0,0.1176094144342919,0
1,0.12810498185266764,0
0,0.18314966899697513,0
0,0.8460071826611343,1
0,0.20031240164925582,0
0,0.21136947126420733,0
1,0.8741190121265057,1
0,0.43362585523965086,0
0,0.018447365740573738,0
1,0.9998220665788429,1
1,0.39006620245599527,0
0,0.04516622757691674,0
0,0.033618031515625826,0
0,0.5237918008287826,1
0,0.3287611197991926,0
0,0.04774207653984687,0
0,0.0606724886320658,0
0,0.41290389086153834,0
0,0.1328221914291491,0
0,0.007486158746823895,0
0,0.6241883184132787,1
0,0.966900301700644,1
0,0.034760776741708674,0
0,0.4368551755131965,0
0,0.30428694128908457,0
0,0.0035223484430661196,0
1,0.99875481960776,1
1,0.7509023596950908,1
1,0.5469020509552007,1
0,0.9083045687384651,1
1,0.9938663867423454,1
0,0.4901892396166085,0
0,0.5746640003933049,1
1,0.9292871324157838,1
0,0.04283877167397957,0
1,0.9476564981484706,1
0,0.023528771218007474,0
1,0.9988367384600119,1
1,0.9323686502664702,1
1,0.3893719125554194,0
0,0.7299983407398077,1
1,0.9030190122527382,1
0,0.061135201010500954,0
0,0.0009597312003712493,0
0,0.1318404218454236,0
0,0.03010577106686678,0
1,0.19573177619280674,0
1,0.9139077923886324,1
0,0.029784079719156763,0
0,0.005652842716319013,0
0,0.017428868761852314,0
0,0.24465423236164024,0
0,0.23781717582045808,0
1,0.6427824282646332,1
0,0.8542331101978513,1
0,0.5788282483128221,1
0,0.024433755446418393,0
0,0.5761089513184101,1
0,0.11114990073469744,0
0,0.24337004479964994,0
0,0.7308747497448609,1
0,0.011255136157380701,0
1,0.6431532347621441,1
0,0.03602923694916413,0
0,0.32513578694099626,0
1,0.5549653951010992,1
0,0.07597866584574581,0
0,0.7612642160609506,1
0,0.252848013724875,0
0,0.021660196298485247,0
0,0.26837977336915814,0
0,0.18804261626928045,0
0,0.6397009464146255,1
0,0.020959483480061106,0
0,0.9782271666798372,1
1,0.5476272107006501,1
0,0.043553237961625156,0
1,0.38324297734048346,0
0,0.004137188245695256,0
0,0.11615499590960982,0
0,0.03241551297715224,0
0,0.47950875031119267,0
0,0.03530500534326606,0
0,0.4716775711986425,0
1,0.8654405892576894,1
0,0.26086363613140323,0
0,0.6993812650482284,1
0,0.5861954650185741,1
1,0.8318671335516615,1
0,0.45624158099687007,0
0,0.003381913368316523,0
1,0.8563106907401473,1
0,0.7605347058932389,1
0,0.005994581058887373,0
0,0.6919083808563486,1
0,0.43021960261886666,0
0,0.003551488284236852,0
0,0.018623468709997825,0
1,0.9364329245691899,1
0,0.0401780993351081,0
0,0.20617704126618414,0
0,0.4276281547202293,0
0,0.06329238634572595,0
0,0.004726672136235752,0
1,0.751935840651178,1
1,0.8745479255977935,1
1,0.9999992837296648,1
0,0.07333403066199376,0
0,0.003048683170782985,0
0,0.043806936808399345,0
0,0.26432850635621846,0
0,0.6547984984331552,1
0,0.002273149654883137,0
0,0.5421818159496202,1
0,0.6150986245313282,1
1,0.92047231855099,1
1,0.6508708569392658,1
0,0.001824352568499255,0
0,0.07779769534743004,0
0,0.006267981951170971,0
0,0.11555007462589166,0
0,0.5318991511676936,1
1,0.9751168313402576,1
0,0.07121708024700972,0
0,0.1775754250333317,0
0,0.0012230067403855905,0
1,0.9998116206558461,1
0,0.036828123678456094,0
1,0.5872127194016769,1
0,0.1025673114513942,0
