algorithm,hyperparameters,cv_average_precision_mean,cv_average_precision_std,cv_roc_auc_mean,cv_roc_auc_std,cv_f1_mean,cv_f1_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,fit_time_mean_seconds
hist_gradient_boosting,"{""categorical_features"": ""from_dtype"", ""class_weight"": ""balanced"", ""early_stopping"": ""auto"", ""interaction_cst"": null, ""l2_regularization"": 0.1, ""learning_rate"": 0.08, ""loss"": ""log_loss"", ""max_bins"": 255, ""max_depth"": null, ""max_features"": 1.0, ""max_iter"": 250, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""monotonic_cst"": null, ""n_iter_no_change"": 10, ""random_state"": 42, ""scoring"": ""loss"", ""tol"": 1e-07, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.8264062069026981,0.009684425312091755,0.9278259821255821,0.004164498893586257,0.7145247586571487,0.006878834107734271,0.6079507754776414,0.0064077412648675895,0.8664526484751203,0.010014073329991996,0.8452753919351934,0.005609626058397287,5.558806228637695
random_forest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",0.8006168824489335,0.009808567545239375,0.9173019718964112,0.004746855370192141,0.7014967571893544,0.007097834406706551,0.6015920980125373,0.007589257286216719,0.8413055109684322,0.0116708615597784,0.8329375020311662,0.005809476105772123,11.533327102661133
logistic_regression,"{""C"": 1.0, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.771275371806332,0.011375762890233213,0.9081905051290862,0.00524982630883798,0.6821382564058036,0.008338024941951488,0.5703216270507774,0.007086721518344963,0.8485821294810059,0.01400348028710797,0.823657770375901,0.007263231492972509,2.1850505828857423
dummy_baseline,"{""constant"": null, ""random_state"": null, ""strategy"": ""prior""}",0.2394189392499114,1.6797985514971383e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.2656606197357179
