threshold,precision,recall,f1
0.05,0.3559023118506307,0.9933654360620653,0.5240487749802416
0.055,0.3625136782866969,0.9926163723916533,0.5310737697878797
0.06,0.3687457708076265,0.9913322632423756,0.5375420680051062
0.065,0.3753750101354091,0.9907972177635099,0.5444709064714357
0.07,0.3807583055452637,0.9897271268057785,0.5499464859079558
0.075,0.3861100664410179,0.9887640449438202,0.5553552109628561
0.08,0.39104844173441733,0.9882289994649546,0.5603592124025363
0.08499999999999999,0.3954375884396038,0.9868378812199037,0.5646237678319965
0.09,0.40002605750021714,0.9856607811663991,0.5690896172500077
0.095,0.4036411493748629,0.9845906902086677,0.5725575606720598
0.09999999999999999,0.4074599725018849,0.9830925628678437,0.5761319453154397
0.105,0.4117594295196663,0.9824505082932049,0.5803046583654636
0.10999999999999999,0.4154661592824137,0.9813804173354735,0.5837868805499857
0.11499999999999999,0.41944787803873096,0.9804173354735153,0.5875336667949211
0.12,0.42281941173754445,0.9798822899946495,0.5907360815431263
0.12499999999999999,0.4264870408353533,0.9790262172284644,0.5941487807253953
0.13,0.43013788884182785,0.9780631353665061,0.597502778322547
0.135,0.4330454588592578,0.9765650080256821,0.6000197245142839
0.13999999999999999,0.4360923827284464,0.9759229534510433,0.6028157842554035
0.145,0.4392077490241434,0.9752808988764045,0.6056618819776715
0.14999999999999997,0.44259187244798753,0.9743178170144462,0.6086840258047264
0.15499999999999997,0.4455552288542586,0.9729266987693954,0.6112063460051763
0.15999999999999998,0.44855011608951245,0.9716425896201177,0.6137623360821954
0.16499999999999998,0.4518459468885457,0.9704654895666132,0.6166032091378841
0.16999999999999998,0.4556058320764203,0.9697164258962012,0.619941850521635
0.175,0.4584832058361619,0.9684323167469235,0.6223353046348508
0.18,0.46117743087440055,0.9673622257891921,0.6245897675061319
0.185,0.46370408425378884,0.9658640984483681,0.6265879902811524
0.19,0.46671846671846673,0.9641519529159979,0.6289703315881326
0.195,0.46926005110288366,0.9629748528624933,0.6310216674847486
0.19999999999999996,0.4719685039370079,0.9621187800963081,0.6332805071315373
0.20499999999999996,0.4746882265905728,0.9612627073301231,0.6355371608475715
